source,target,weight
49077,1122944,1
37542,49077,1
37542,1122944,1
1122944,49077,1
1122944,37542,1
1128923,1128924,1
1128924,1128923,1
56736,740246,1
332657,740246,1
740246,56736,1
740246,332657,1
29894,656871,1
29894,606930,1
656871,29894,1
656871,606930,1
606930,29894,1
606930,656871,1
3093,210062,1
210062,3093,1
101581,218066,1
218066,101581,1
20,1208849,1
20,1208850,1
1208849,1208850,1
188343,1208850,1
1208850,20,1
1208850,1208849,1
1208850,188343,1
1210180,1210181,1
1210181,1210180,1
1218668,1218669,1
20,1233306,1
554537,1243357,1
1243357,554537,1
1287491,1287492,1
1287492,1287491,1
1316723,367405,1
367405,1316723,1
1320109,1320110,1
1320109,190315,1
1320110,1320109,1
1320110,190315,1
190315,1320109,1
190315,1320110,1
258793,778526,1
778526,258793,1
468360,826669,1
826669,468360,1
1385862,1385863,1
1385863,1385862,1
32625,1388913,1
1388913,32625,1
151414,1400850,1
1400850,151414,1
262348,858735,1
1418999,1419000,1
1419000,1418999,1
62769,1419566,1
1419566,62769,1
1424421,1424423,1
1424739,1424740,1
1424740,1424739,1
42223,20,1
20,42223,1
80612,167631,1
80612,1449537,1
1449536,1449537,1
167631,1449537,1
1144807,1449537,1
1449537,80612,1
1449537,1449536,1
1449537,167631,1
1449537,1144807,1
408664,33588,1
33588,408664,1
